"Lamusi A","Asia","People's Republic of China","M","B","Judo","0","0","0"
"Jamale Aarrass","Europe","France","M","D","Athletics","0","0","0"
"Maria Abakumova","Asia","Russian Federation","F","C","Athletics","0","0","0"
"Luc Abalo","Europe","France","M","C","Handball","1","0","0"
"Maria Laura Abalo","South America","Argentina","F","D","Rowing","0","0","0"
"Mohamed Abarhoun","Africa","Morocco","M","B","Football","0","0","0"
"Emanuele Abate","Europe","Italy","M","C","Athletics","0","0","0"
"Sohail Abbas","Asia","Pakistan","M","D","Hockey","0","0","0"
"Shakeel Abbasi","Asia","Pakistan","M","C","Hockey","0","0","0"
"Soulmaz Abbasiazad","Asia","Islamic Republic of Iran","F","C","Rowing","0","0","0"
"Simona Abbate","Europe","Italy","F","C","Water Polo","0","0","0"
"Ahmed Abd Elgaber","Africa","Egypt","M","B","Football","0","0","0"
"Mohamed Fawzi Abdalla","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Mohamed Abdel Baki","Africa","Egypt","M","C","Weightlifting","0","0","0"
"Tarek Abdelazim","Africa","Egypt","M","C","Weightlifting","0","0","0"
"Mouni Abderrahim","Africa","Algeria","F","C","Volleyball","0","0","0"
"Youcef Abdi","North America","Australia","M","D","Athletics","0","0","0"
"Abdihakem Abdirahman","North America","United States of America","M","D","Athletics","0","0","0"
"Dana Abdul Razak","Asia","Iraq","F","C","Athletics","0","0","0"
"Muminjon Abdullaev","Asia","Uzbekistan","M","B","Wrestling","0","0","0"
"Layes Abdullayeva","Europe","Azerbaijan","F","B","Athletics","0","0","0"
"Yusup Abdusalomov","Asia","Tajikistan","M","D","Wrestling","0","0","0"
"Saeid Morad Abdvali","Asia","Islamic Republic of Iran","M","B","Wrestling","0","0","0"
"Mojtaba Abedini","Asia","Islamic Republic of Iran","M","C","Fencing","0","0","0"
"Jennifer Abel","North America","Canada","F","B","Diving","0","0","1"
"Yaritza Abel Rojas","North America","Cuba","F","C","Judo","0","0","0"
"Pablo Abian","Europe","Spain","M","C","Badminton","0","0","0"
"Tomomi Abiko","Asia","Japan","F","B","Athletics","0","0","0"
"Camille Abily","Europe","France","F","C","Football","0","0","0"
"Endurance Abinuwa","Africa","Nigeria","F","C","Athletics","0","0","0"
"Khalil Mahmoud K Abir Abdelrahman","Africa","Egypt","F","B","Weightlifting","0","0","0"
"Bukola Abogunloko","Africa","Nigeria","F","A","Athletics","0","0","0"
"Aminata Aboubakar Yacoub","Africa","Congo","F","B","Swimming","0","0","0"
"Rabah Aboud","Africa","Algeria","M","D","Athletics","0","0","0"
"Gabrielle Aboudi Onguene","Africa","Cameroon","F","B","Football","0","0","0"
"Alaaeldin Abouelkassem","Africa","Egypt","M","B","Fencing","0","1","0"
"Abouhalima Abouhalima","Africa","Egypt","M","A","Wrestling","0","0","0"
"Mohamed Aboutrika","Africa","Egypt","M","D","Football","0","0","0"
"Arnaldo Abrantes","Europe","Portugal","M","C","Athletics","0","0","0"
"Amir Abrashi","Europe","Switzerland","M","B","Football","0","0","0"
"Erika Abril","South America","Colombia","F","D","Athletics","0","0","0"
